"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway",72,0.48758070767489,1.98172444315467,0.00168067226890756,0.173625083836351,0.166437219810089,422,"tags=47%, list=23%, signal=38%","CHAC1/DDIT4/SFN/TRIB3/CDKN1A/DDIT3/MDM2/BBC3/ZNF385A/NUPR1/PLEKHF1/TNFRSF10B/ATF4/PMAIP1/ARHGEF2/CEBPB/PHLDA3/HERPUD1/MAP3K5/EDA2R/SGPP1/RRM2B/BAX/JMY/XBP1/CASP9/ERP29/GSDME/PPP1R15A/BNIP3/RPS27L/NKX3-1/AEN/BCL2L1"
"GO:1902475","GO:1902475","L-alpha-amino acid transmembrane transport",11,0.756343269056567,1.96595919527739,0.00185185185185185,0.173625083836351,0.166437219810089,118,"tags=55%, list=6%, signal=51%","SLC6A9/SLC7A5/SLC7A11/SLC38A1/SLC1A4/SLC3A2"
"GO:0043618","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress",13,0.721414636422718,1.96564426159827,0.00185528756957328,0.173625083836351,0.166437219810089,218,"tags=54%, list=12%, signal=48%","DDIT3/ATF3/VEGFA/ATF4/KLF2/CEBPB/EPAS1"
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress",13,0.721414636422718,1.96564426159827,0.00185528756957328,0.173625083836351,0.166437219810089,218,"tags=54%, list=12%, signal=48%","DDIT3/ATF3/VEGFA/ATF4/KLF2/CEBPB/EPAS1"
"GO:0015804","GO:0015804","neutral amino acid transport",11,0.755358964388684,1.96340069718274,0.00185185185185185,0.173625083836351,0.166437219810089,118,"tags=55%, list=6%, signal=51%","SLC6A9/SLC7A5/SLC7A11/SLC38A1/SLC1A4/SLC3A2"
"GO:0030595","GO:0030595","leukocyte chemotaxis",18,-0.625547470177636,-1.95443793839941,0.00217864923747277,0.173625083836351,0.166437219810089,117,"tags=33%, list=6%, signal=32%","CORO1A/PREX1/CCL2/CXCL6/TNFRSF11A/ITGA9"
"GO:0015807","GO:0015807","L-amino acid transport",12,0.734477349596594,1.95386011553197,0.00189035916824197,0.173625083836351,0.166437219810089,118,"tags=50%, list=6%, signal=47%","SLC6A9/SLC7A5/SLC7A11/SLC38A1/SLC1A4/SLC3A2"
"GO:0089718","GO:0089718","amino acid import across plasma membrane",12,0.733528759951135,1.95133667287538,0.00189035916824197,0.173625083836351,0.166437219810089,118,"tags=50%, list=6%, signal=47%","SLC6A9/SLC7A5/SLC7A11/SLC38A1/SLC1A4/SLC3A2"
"GO:0090329","GO:0090329","regulation of DNA-templated DNA replication",13,-0.681490944237058,-1.94011114517518,0.00215982721382289,0.173625083836351,0.166437219810089,322,"tags=85%, list=17%, signal=70%","GMNN/DONSON/RFC2/SLFN11/MCM7/MCM4/MCM6/MCM5/MCM2/GINS2/MCM3"
"GO:0034198","GO:0034198","cellular response to amino acid starvation",15,0.678506759268226,1.93518126982936,0.00185873605947955,0.173625083836351,0.166437219810089,215,"tags=53%, list=12%, signal=48%","SESN2/CDKN1A/ATF3/ATF4/FAS/MAP3K5/MAP1LC3A/SESN3"
"GO:0032508","GO:0032508","DNA duplex unwinding",14,-0.659572484287212,-1.90817197000083,0.00219298245614035,0.173625083836351,0.166437219810089,275,"tags=64%, list=15%, signal=55%","RFC2/CDC45/MCM7/MCM4/MCM6/MCM5/MCM2/GINS2/MCM3"
"GO:0042472","GO:0042472","inner ear morphogenesis",11,-0.705097621462544,-1.88940109737996,0.00216450216450216,0.173625083836351,0.166437219810089,283,"tags=64%, list=15%, signal=54%","TBX3/SIX1/ZIC1/MAFB/SPRY2/INSIG1/MYO15A"
"GO:0009069","GO:0009069","serine family amino acid metabolic process",10,0.744656898855667,1.88810043648582,0.0018348623853211,0.173625083836351,0.166437219810089,279,"tags=70%, list=15%, signal=60%","PSAT1/SLC7A11/CTH/PHGDH/SDSL/PSPH/SHMT2"
"GO:0006915","GO:0006915","apoptotic process",277,0.300831663957251,1.51412390291504,0.00151285930408472,0.173625083836351,0.166437219810089,314,"tags=22%, list=17%, signal=22%","CHAC1/TNFRSF10C/DDIT4/SFN/TRIB3/CDKN1A/BTG2/DDIT3/ASNS/ANKRD1/ATF3/VEGFA/SLC7A5/MKNK2/MDM2/SLC7A11/CTH/TSC22D3/BBC3/TXNIP/CYFIP2/ZNF385A/NUPR1/PLEKHF1/TNFRSF10B/PIP5KL1/ATF4/PMAIP1/ARHGEF2/GRAMD4/XAF1/BTG1/CEBPB/TP53INP1/PLK3/PHLDA3/HERPUD1/BCL10/KLF4/FAS/PIM2/GADD45A/TRAF4/PIM3/MAP3K5/EDA2R/SGPP1/RPS6KA2/RRM2B/STPG1/ZMAT3/BAX/FHL2/UNC5B/AR/JMY/TFRC/TOP2A/PDCD4/XBP1/BLOC1S2/RNF41"
"GO:0012501","GO:0012501","programmed cell death",287,0.299022505921985,1.5087095062127,0.00151057401812689,0.173625083836351,0.166437219810089,314,"tags=22%, list=17%, signal=22%","CHAC1/TNFRSF10C/DDIT4/SFN/TRIB3/CDKN1A/BTG2/DDIT3/ASNS/ANKRD1/ATF3/VEGFA/SLC7A5/MKNK2/MDM2/SLC7A11/CTH/TSC22D3/BBC3/TXNIP/CYFIP2/ZNF385A/NUPR1/PLEKHF1/TNFRSF10B/PIP5KL1/ATF4/PMAIP1/ARHGEF2/GRAMD4/XAF1/BTG1/CEBPB/TP53INP1/PLK3/PHLDA3/HERPUD1/BCL10/KLF4/FAS/PIM2/GADD45A/TRAF4/PIM3/MAP3K5/EDA2R/SGPP1/RPS6KA2/RRM2B/STPG1/ZMAT3/TMEM79/BAX/FHL2/UNC5B/AR/AMIGO2/JMY/TFRC/TOP2A/PDCD4/XBP1/BLOC1S2/RNF41"
"GO:0008219","GO:0008219","cell death",306,0.290223652381961,1.47436308816813,0.00148809523809524,0.173625083836351,0.166437219810089,389,"tags=26%, list=21%, signal=25%","CHAC1/TNFRSF10C/DDIT4/SFN/TRIB3/CDKN1A/BTG2/DDIT3/ASNS/ANKRD1/ATF3/VEGFA/SLC7A5/MKNK2/MDM2/SLC7A11/CTH/TSC22D3/BBC3/TXNIP/CYFIP2/ZNF385A/NUPR1/PLEKHF1/TNFRSF10B/PIP5KL1/ATF4/PMAIP1/ARHGEF2/GRAMD4/XAF1/BTG1/CEBPB/TP53INP1/PLK3/PHLDA3/HERPUD1/BCL10/NCOA7/KLF4/FAS/PIM2/GADD45A/KDM4A/TRAF4/PIM3/MAP3K5/EDA2R/SGPP1/RPS6KA2/FYN/RRM2B/STPG1/ZMAT3/TMEM79/BAX/FHL2/UNC5B/AR/AMIGO2/JMY/TFRC/TOP2A/PDCD4/XBP1/BLOC1S2/RNF41/CASP9/ERP29/SERPINE1/DNASE2/RILPL1/CDK1/BTBD10/RASA1/GSDME/HSPA9/SGPL1/NENF/PPP1R15A/BNIP3"
"GO:1990928","GO:1990928","response to amino acid starvation",16,0.664662859125814,1.92983837530595,0.00368324125230203,0.197407301496521,0.189234883032574,215,"tags=50%, list=12%, signal=45%","SESN2/CDKN1A/ATF3/ATF4/FAS/MAP3K5/MAP1LC3A/SESN3"
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response",15,0.665849377012851,1.8990809233979,0.00371747211895911,0.197407301496521,0.189234883032574,309,"tags=60%, list=17%, signal=50%","DDIT3/ATF3/CTH/ATF4/DNAJB9/HERPUD1/STC2/BAX/XBP1"
"GO:2001244","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway",13,0.676949414707387,1.84448951439375,0.00371057513914657,0.197407301496521,0.189234883032574,472,"tags=69%, list=25%, signal=52%","DDIT3/BBC3/NUPR1/PLEKHF1/PMAIP1/BAX/GSDME/NKX3-1/TP53"
"GO:0006914","GO:0006914","autophagy",86,0.421192163882252,1.77117002780189,0.0032626427406199,0.197407301496521,0.189234883032574,778,"tags=63%, list=42%, signal=38%","RAB43/SESN2/TRIB3/DDIT3/SLC7A5/NUPR1/PLEKHF1/SPATA18/TP53INP1/PLK3/SREBF1/PIM2/KDM4A/MAP1LC3A/SESN3/TRIM22/FNBP1L/XBP1/RNF41/SESN1/TRIM6/BNIP3/OGT/CRY1/VPS37B/WDR41/TP53/VPS13D/HMOX1/SPTLC1/EPG5/TRIM8/ATP13A2/BNIP3L/SNX14/STX17/DRAM1/ARL8B/GSK3B/ATF6/ZFYVE1/RAB3GAP1/ATP6V1B2/LIX1L/RRAGC/ATP6V0C/ABL2/NBR1/WDFY3/MCL1/RNF185/SQSTM1/MET/CALCOCO2"
"GO:0061919","GO:0061919","process utilizing autophagic mechanism",86,0.421192163882252,1.77117002780189,0.0032626427406199,0.197407301496521,0.189234883032574,778,"tags=63%, list=42%, signal=38%","RAB43/SESN2/TRIB3/DDIT3/SLC7A5/NUPR1/PLEKHF1/SPATA18/TP53INP1/PLK3/SREBF1/PIM2/KDM4A/MAP1LC3A/SESN3/TRIM22/FNBP1L/XBP1/RNF41/SESN1/TRIM6/BNIP3/OGT/CRY1/VPS37B/WDR41/TP53/VPS13D/HMOX1/SPTLC1/EPG5/TRIM8/ATP13A2/BNIP3L/SNX14/STX17/DRAM1/ARL8B/GSK3B/ATF6/ZFYVE1/RAB3GAP1/ATP6V1B2/LIX1L/RRAGC/ATP6V0C/ABL2/NBR1/WDFY3/MCL1/RNF185/SQSTM1/MET/CALCOCO2"
"GO:0071214","GO:0071214","cellular response to abiotic stimulus",47,0.475180807898993,1.76964297234782,0.00355239786856128,0.197407301496521,0.189234883032574,472,"tags=51%, list=25%, signal=39%","CDKN1A/ANKRD1/MDM2/MAPK11/TNFRSF10B/ATF4/ARHGEF2/TP53INP1/BCL10/FAS/GADD45A/CYBA/XPC/BAX/DDB2/CASP9/BNIP3/BCL2L1/ERRFI1/RHOB/CRY1/FGF2/YBX3/TP53"
"GO:0104004","GO:0104004","cellular response to environmental stimulus",47,0.475180807898993,1.76964297234782,0.00355239786856128,0.197407301496521,0.189234883032574,472,"tags=51%, list=25%, signal=39%","CDKN1A/ANKRD1/MDM2/MAPK11/TNFRSF10B/ATF4/ARHGEF2/TP53INP1/BCL10/FAS/GADD45A/CYBA/XPC/BAX/DDB2/CASP9/BNIP3/BCL2L1/ERRFI1/RHOB/CRY1/FGF2/YBX3/TP53"
"GO:0061061","GO:0061061","muscle structure development",84,0.412991849572231,1.72904788803496,0.0033112582781457,0.197407301496521,0.189234883032574,327,"tags=33%, list=18%, signal=29%","GDF15/MYH3/BTG2/DDIT3/ANKRD1/ATF3/VEGFA/MDM2/CTH/MAPK11/NUPR1/ANK2/MSC/BTG1/MKX/RCAN1/DYRK1B/MAP3K5/EPAS1/FHL2/GPCPD1/PLCB1/SYNE1/PDCD4/ITGA11/XBP1/IFRD1/GPC1"
"GO:0003013","GO:0003013","circulatory system process",58,0.419217630924531,1.63258912267837,0.00343053173241852,0.197407301496521,0.189234883032574,286,"tags=33%, list=15%, signal=29%","ADM2/SLC4A5/SLC6A9/VEGFA/SLC7A5/MDM2/SLC38A1/SLC1A4/ANK2/KLF2/SREBF1/CYBA/DLG1/EPAS1/RPS6KA2/FYN/SLC27A1/AR/TFRC"
"GO:0010506","GO:0010506","regulation of autophagy",58,0.417213151506286,1.62478293550146,0.00343053173241852,0.197407301496521,0.189234883032574,659,"tags=52%, list=36%, signal=34%","SESN2/TRIB3/DDIT3/SLC7A5/NUPR1/PLEKHF1/TP53INP1/PLK3/SREBF1/PIM2/KDM4A/SESN3/TRIM22/RNF41/SESN1/TRIM6/BNIP3/WDR41/TP53/VPS13D/HMOX1/SPTLC1/TRIM8/ATP13A2/BNIP3L/DRAM1/GSK3B/ATF6/RAB3GAP1/ATP6V1B2"
"GO:0010941","GO:0010941","regulation of cell death",250,0.293866036418497,1.46240856192631,0.00308166409861325,0.197407301496521,0.189234883032574,299,"tags=22%, list=16%, signal=21%","TNFRSF10C/DDIT4/SFN/CDKN1A/BTG2/DDIT3/ASNS/ANKRD1/ATF3/VEGFA/SLC7A5/MDM2/SLC7A11/CTH/TSC22D3/BBC3/TXNIP/ZNF385A/NUPR1/PLEKHF1/TNFRSF10B/PIP5KL1/ATF4/PMAIP1/ARHGEF2/BTG1/CEBPB/TP53INP1/PLK3/PHLDA3/HERPUD1/BCL10/NCOA7/KLF4/FAS/PIM2/GADD45A/KDM4A/TRAF4/PIM3/MAP3K5/RPS6KA2/FYN/RRM2B/STPG1/BAX/FHL2/UNC5B/AR/AMIGO2/JMY/TFRC/TOP2A/PDCD4"
"GO:0097529","GO:0097529","myeloid leukocyte migration",21,-0.618847515790027,-2.01308013111197,0.00446428571428571,0.204472528015007,0.196007617899466,131,"tags=29%, list=7%, signal=27%","IL1R1/PREX1/CCL2/CXCL6/TNFRSF11A/ITGA9"
"GO:0019369","GO:0019369","arachidonic acid metabolic process",10,-0.765110502174856,-1.97737912731324,0.00437636761487965,0.204472528015007,0.196007617899466,164,"tags=50%, list=9%, signal=46%","PTGS2/PTGIS/AKR1C3/PLA2G4B/CYP1B1"
"GO:0046849","GO:0046849","bone remodeling",10,-0.747616604278612,-1.93216726777523,0.00437636761487965,0.204472528015007,0.196007617899466,127,"tags=40%, list=7%, signal=37%","TMEM119/TNFRSF11A/PPARGC1B/GDF5"
"GO:0032392","GO:0032392","DNA geometric change",15,-0.646872161170933,-1.91130231235397,0.00431034482758621,0.204472528015007,0.196007617899466,275,"tags=60%, list=15%, signal=52%","RFC2/CDC45/MCM7/MCM4/MCM6/MCM5/MCM2/GINS2/MCM3"
"GO:0060326","GO:0060326","cell chemotaxis",27,-0.533963926228977,-1.83915807436378,0.00444444444444444,0.204472528015007,0.196007617899466,117,"tags=22%, list=6%, signal=21%","CORO1A/PREX1/CCL2/CXCL6/TNFRSF11A/ITGA9"
"GO:0006310","GO:0006310","DNA recombination",41,-0.489211339660204,-1.83729645230659,0.00464037122969838,0.204472528015007,0.196007617899466,274,"tags=44%, list=15%, signal=38%","PAGR1/MSH2/HMCES/CDC45/EME2/MCM7/MCM4/TONSL/FEN1/MSH6/MCM6/MCM5/MCM2/GINS2/MCM3/SWSAP1/UNG/DMC1"
"GO:0042471","GO:0042471","ear morphogenesis",12,-0.660477690028079,-1.83692570638665,0.00422832980972516,0.204472528015007,0.196007617899466,283,"tags=58%, list=15%, signal=50%","TBX3/SIX1/ZIC1/MAFB/SPRY2/INSIG1/MYO15A"
"GO:0043067","GO:0043067","regulation of programmed cell death",233,0.289771665395736,1.43073723232797,0.00458015267175573,0.204472528015007,0.196007617899466,299,"tags=21%, list=16%, signal=21%","TNFRSF10C/SFN/CDKN1A/BTG2/DDIT3/ASNS/ANKRD1/ATF3/VEGFA/SLC7A5/MDM2/SLC7A11/CTH/TSC22D3/BBC3/TXNIP/ZNF385A/NUPR1/PLEKHF1/TNFRSF10B/PIP5KL1/ATF4/PMAIP1/ARHGEF2/BTG1/CEBPB/TP53INP1/PLK3/PHLDA3/HERPUD1/BCL10/KLF4/FAS/PIM2/GADD45A/TRAF4/PIM3/MAP3K5/RPS6KA2/RRM2B/STPG1/BAX/FHL2/UNC5B/AR/AMIGO2/JMY/TFRC/TOP2A/PDCD4"
"GO:0030330","GO:0030330","DNA damage response, signal transduction by p53 class mediator",18,0.636987201985503,1.91454762033344,0.00552486187845304,0.217085953878407,0.208098863510979,310,"tags=56%, list=17%, signal=47%","SESN2/CDKN1A/ANKRD1/MDM2/ZNF385A/PMAIP1/PLK3/E2F7/NDRG1/KMT5A"
"GO:0072331","GO:0072331","signal transduction by p53 class mediator",44,0.488652733069535,1.80385614973726,0.00523560209424084,0.217085953878407,0.208098863510979,310,"tags=39%, list=17%, signal=33%","DDIT4/SESN2/CDKN1A/ANKRD1/MDM2/ZNF385A/NUPR1/PMAIP1/PLK3/PHLDA3/E2F7/EDA2R/RRM2B/BAX/JMY/NDRG1/KMT5A"
"GO:0042149","GO:0042149","cellular response to glucose starvation",17,0.608957054432727,1.79936331341898,0.00552486187845304,0.217085953878407,0.208098863510979,316,"tags=47%, list=17%, signal=39%","SESN2/ASNS/SLC7A5/ATF4/PMAIP1/SESN3/XBP1/SESN1"
"GO:0042771","GO:0042771","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",11,0.687542613978289,1.78712600401892,0.00555555555555556,0.217085953878407,0.208098863510979,165,"tags=45%, list=9%, signal=42%","DDIT4/CDKN1A/ZNF385A/NUPR1/PHLDA3"
"GO:0009066","GO:0009066","aspartate family amino acid metabolic process",11,0.67179245916997,1.74618670708952,0.00555555555555556,0.217085953878407,0.208098863510979,160,"tags=45%, list=9%, signal=42%","ASNS/PHGDH/SDSL/ATF4/GOT1"
"GO:0006281","GO:0006281","DNA repair",75,-0.382926416542246,-1.64876035818821,0.00508905852417303,0.217085953878407,0.208098863510979,401,"tags=49%, list=22%, signal=40%","PARP1/RPA2/NUDT16L1/CHAF1A/WRAP53/POLD1/TOP3A/CLSPN/DOT1L/TAF12/PAGR1/MSH2/RFC2/HMCES/CDC45/EME2/MC1R/CDKN2D/MCM7/MCM4/TONSL/ZBTB1/FEN1/MSH6/MCM6/MCM5/UHRF1/CHAF1B/POLE2/MCM2/GINS2/NYNRIN/MCM3/SWSAP1/EEPD1/UNG/DMC1"
"GO:0071103","GO:0071103","DNA conformation change",16,-0.609130327297798,-1.82825738541973,0.0065359477124183,0.242771178493279,0.232720751550649,275,"tags=56%, list=15%, signal=48%","RFC2/CDC45/MCM7/MCM4/MCM6/MCM5/MCM2/GINS2/MCM3"
"GO:0030316","GO:0030316","osteoclast differentiation",10,-0.687168250998595,-1.77594236729799,0.00656455142231947,0.242771178493279,0.232720751550649,133,"tags=40%, list=7%, signal=37%","MAFB/PRXL2A/TNFRSF11A/PPARGC1B"
"GO:0044786","GO:0044786","cell cycle DNA replication",10,-0.679003865584095,-1.75484203569872,0.00656455142231947,0.242771178493279,0.232720751550649,322,"tags=80%, list=17%, signal=66%","GMNN/DONSON/CDC45/MCM4/FEN1/MCM6/MCM2/MCM3"
"GO:0006986","GO:0006986","response to unfolded protein",35,0.500770882552752,1.75540547888488,0.00693240901213172,0.247195034614466,0.23696146549233,388,"tags=40%, list=21%, signal=32%","CHAC1/DDIT3/ATF3/CTH/ATF4/DNAJB9/HERPUD1/HSPA4L/STC2/BAX/HSPA13/XBP1/HSPA9/PPP1R15A"
"GO:0071496","GO:0071496","cellular response to external stimulus",69,0.404067005032821,1.61706610464028,0.0068259385665529,0.247195034614466,0.23696146549233,215,"tags=26%, list=12%, signal=24%","PHEX/SESN2/CDKN1A/ASNS/ANKRD1/ATF3/SLC7A5/TNFRSF10B/ATF4/PMAIP1/BCL10/SREBF1/FAS/GADD45A/CYBA/MAP3K5/MAP1LC3A/SESN3"
"GO:0042221","GO:0042221","response to chemical",455,0.258664937051416,1.36563533079252,0.00704225352112676,0.247195034614466,0.23696146549233,303,"tags=21%, list=16%, signal=23%","RAB43/GDF15/CHAC1/DDIT4/PHEX/ACSBG1/SESN2/TRIB3/BTG2/ITPKA/DDIT3/ANKRD1/ATF3/HPX/VEGFA/SLC7A5/PCK2/MKNK2/MDM2/SLC7A11/CTH/MAPK11/TXNIP/CXCR5/ZBED3/CYFIP2/NUPR1/RPS6KA5/ATF4/PMAIP1/MT1F/ARHGEF2/AFF3/ANK2/FST/SLC3A2/CYP2R1/XAF1/KLF2/MSC/ROBO3/BTG1/FLRT2/CEBPB/ABCA1/KLF9/DNAJB9/ZNF277/SMOX/TP53INP1/GOT1/PLK3/SLC22A18/HERPUD1/SCN9A/BCL10/NCOA7/SREBF1/KLF4/HSPA4L/FAS/PSPH/CYBA/TRAF4/PIM3/MAP3K5/MAP1LC3A/SESN3/EDA2R/EPAS1/ETV5/RPS6KA2/STC2/FYN/AKR1C1/RRM2B/XPC/BAX/FHL2/SLC27A1/ABTB2/UNC5B/SEMA7A/AR/LONP1/HSPA13/LIFR/FBXO32/SHMT2/PAPPA/TFRC/NDRG1/PLCB1/PDCD4/AKR1C2/LIAS"
"GO:0008625","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors",15,0.609906575412391,1.73952545786982,0.00743494423791822,0.248351121237558,0.23806969155711,422,"tags=60%, list=23%, signal=47%","TNFRSF10C/ATF3/TNFRSF10B/PMAIP1/ARHGEF2/BAX/BLOC1S2/SERPINE1/BCL2L1"
"GO:0003073","GO:0003073","regulation of systemic arterial blood pressure",11,0.654145471474106,1.70031698212601,0.00740740740740741,0.248351121237558,0.23806969155711,267,"tags=45%, list=14%, signal=39%","ADM2/SLC4A5/CYBA/RPS6KA2/AR"
"GO:0010033","GO:0010033","response to organic substance",369,0.265524813202866,1.36804332323009,0.00728862973760933,0.248351121237558,0.23806969155711,303,"tags=21%, list=16%, signal=22%","RAB43/GDF15/CHAC1/DDIT4/PHEX/ACSBG1/SESN2/TRIB3/BTG2/ITPKA/DDIT3/ANKRD1/ATF3/HPX/SLC7A5/PCK2/MDM2/SLC7A11/CTH/MAPK11/TXNIP/CXCR5/ZBED3/RPS6KA5/ATF4/PMAIP1/ARHGEF2/AFF3/ANK2/FST/SLC3A2/XAF1/KLF2/MSC/BTG1/CEBPB/ABCA1/KLF9/DNAJB9/ZNF277/TP53INP1/GOT1/HERPUD1/BCL10/SREBF1/KLF4/HSPA4L/FAS/PSPH/CYBA/TRAF4/PIM3/MAP3K5/MAP1LC3A/SESN3/EDA2R/RPS6KA2/STC2/FYN/AKR1C1/RRM2B/BAX/FHL2/SLC27A1/AR/LONP1/HSPA13/LIFR/FBXO32/SHMT2/PAPPA/TFRC/PLCB1/PDCD4/AKR1C2/LIAS"
"GO:0032147","GO:0032147","activation of protein kinase activity",12,0.66456422893239,1.76787690162729,0.00756143667296786,0.248567227773277,0.238276851549163,207,"tags=50%, list=11%, signal=45%","SESN2/VEGFA/TNFRSF10B/TRAF4/DLG1/BORA"
"GO:0042981","GO:0042981","regulation of apoptotic process",225,0.283655645358693,1.39528099442024,0.0077639751552795,0.251237383540373,0.240836466165414,299,"tags=21%, list=16%, signal=20%","TNFRSF10C/SFN/BTG2/DDIT3/ASNS/ANKRD1/ATF3/VEGFA/SLC7A5/MDM2/SLC7A11/CTH/TSC22D3/BBC3/TXNIP/ZNF385A/NUPR1/PLEKHF1/TNFRSF10B/PIP5KL1/ATF4/PMAIP1/ARHGEF2/BTG1/CEBPB/TP53INP1/PLK3/PHLDA3/HERPUD1/BCL10/KLF4/FAS/PIM2/GADD45A/TRAF4/PIM3/MAP3K5/RPS6KA2/RRM2B/STPG1/BAX/FHL2/UNC5B/AR/JMY/TFRC/TOP2A/PDCD4"
"GO:0048839","GO:0048839","inner ear development",17,-0.591922574435209,-1.811535862291,0.00871459694989107,0.252550709320759,0.242095421880583,283,"tags=53%, list=15%, signal=45%","TBX3/SIX1/ZIC1/DCHS1/MAFB/SPRY2/MCM2/INSIG1/MYO15A"
"GO:0097191","GO:0097191","extrinsic apoptotic signaling pathway",38,0.497225483286806,1.76569990597064,0.0088339222614841,0.252550709320759,0.242095421880583,355,"tags=39%, list=19%, signal=33%","TNFRSF10C/ATF3/MKNK2/TNFRSF10B/PMAIP1/ARHGEF2/BCL10/FAS/SGPP1/BAX/UNC5B/AR/BLOC1S2/RNF41/SERPINE1"
