"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030330","GO:0030330","DNA damage response, signal transduction by p53 class mediator","8/306","72/18614",2.33852674853632e-05,0.0074152557262679,0.00680746255411243,"144455/1263/5366/25946/4193/27063/1026/83667",8
"GO:0043618","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","6/306","38/18614",3.33132369007489e-05,0.00934503967714669,0.00857907131152831,"1051/10365/468/7422/467/1649",6
"GO:0008652","GO:0008652","amino acid biosynthetic process","8/306","78/18614",4.20702873434229e-05,0.00934503967714669,0.00857907131152831,"5723/2805/81539/113675/26227/1491/440/29968",8
"GO:1901654","GO:1901654","response to ketone","13/306","208/18614",4.23628019318724e-05,0.00934503967714669,0.00857907131152831,"5732/1545/8644/1364/978/1535/5723/6720/687/10365/10628/5106/54541",13
"GO:0009069","GO:0009069","serine family amino acid metabolic process","6/306","40/18614",4.50571879035004e-05,0.00934503967714669,0.00857907131152831,"5723/113675/26227/1491/23657/29968",6
"GO:0000101","GO:0000101","sulfur amino acid transport","4/306","13/18614",4.55463516374695e-05,0.00934503967714669,0.00857907131152831,"6520/6509/23657/8140",4
"GO:0006563","GO:0006563","L-serine metabolic process","4/306","13/18614",4.55463516374695e-05,0.00934503967714669,0.00857907131152831,"5723/113675/26227/29968",4
"GO:0001776","GO:0001776","leukocyte homeostasis","9/306","103/18614",5.05936834788983e-05,0.00955681145636057,0.00877348516726487,"6372/11151/355/8915/53833/5366/27040/1831/23657",9
"GO:0140467","GO:0140467","integrated stress response signaling","6/306","41/18614",5.20583192863678e-05,0.00955681145636057,0.00877348516726487,"9603/9935/1054/1051/468/1649",6
"GO:0072332","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","8/306","83/18614",6.59270561129114e-05,0.0114976785860918,0.010555268668183,"1870/23612/5366/26471/25946/4193/1026/54541",8
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress","6/306","44/18614",7.84175957024421e-05,0.0130247892290532,0.0119572093296656,"1051/10365/468/7422/467/1649",6
"GO:0000079","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","9/306","112/18614",9.73860303479188e-05,0.0147988397950714,0.0135858494255816,"10309/9077/898/9134/441273/1647/100310812/1026/2810",9
"GO:0031960","GO:0031960","response to corticosteroid","11/306","166/18614",9.75840926853905e-05,0.0147988397950714,0.0135858494255816,"133522/5122/1545/6752/8644/1535/2805/687/5106/23205/54541",11
"GO:0009267","GO:0009267","cellular response to starvation","11/306","170/18614",0.000120647609961233,0.0175341193143659,0.0160969311185119,"8792/8644/355/6720/5366/468/8140/467/440/1026/83667",11
"GO:1904029","GO:1904029","regulation of cyclin-dependent protein kinase activity","9/306","116/18614",0.000127613856413462,0.0178046852468062,0.0163453200509369,"10309/9077/898/9134/441273/1647/100310812/1026/2810",9
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","7/306","70/18614",0.000149714363427617,0.0200847576782896,0.0184385058116118,"5723/2805/113675/26227/1491/440/29968",7
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","12/306","206/18614",0.000161980234937119,0.020684306764062,0.0189889127161627,"92292/5723/2805/84706/468/81539/113675/26227/1491/23657/440/29968",12
"GO:0048545","GO:0048545","response to steroid hormone","16/306","339/18614",0.000166043746959214,0.020684306764062,0.0189889127161627,"133522/5732/5122/1545/6752/8013/8644/1364/1535/6720/2805/687/10628/5106/23205/54541",16
"GO:0002260","GO:0002260","lymphocyte homeostasis","7/306","72/18614",0.000178903063237616,0.0215177201576829,0.0197540151858014,"11151/355/8915/53833/5366/27040/1831",7
"GO:0089718","GO:0089718","amino acid import across plasma membrane","6/306","52/18614",0.000202580047134101,0.0235533068134582,0.0216227545046293,"6520/6509/81539/23657/8140/6536",6
"GO:0032328","GO:0032328","alanine transport","4/306","19/18614",0.000228393111793778,0.0255182460261614,0.0234266370146014,"6520/6509/81539/8140",4
"GO:0009612","GO:0009612","response to mechanical stimulus","12/306","215/18614",0.00024076749919754,0.0255182460261614,0.0234266370146014,"8200/8792/1535/5723/1647/355/8915/6335/8795/10628/27063/7832",12
"GO:0042770","GO:0042770","signal transduction in response to DNA damage","11/306","184/18614",0.000241428359765862,0.0255182460261614,0.0234266370146014,"5608/79968/1647/144455/1263/5366/25946/4193/27063/1026/83667",11
"GO:0038066","GO:0038066","p38MAPK cascade","6/306","56/18614",0.000305805185337364,0.0313720143075508,0.0288005998079338,"5608/9464/1739/1647/5600/7422",6
"GO:0006270","GO:0006270","DNA replication initiation","5/306","37/18614",0.0003290122657635,0.032395101242864,0.0297398291830011,"898/9134/4172/4171/55388",5
"GO:0009070","GO:0009070","serine family amino acid biosynthetic process","4/306","21/18614",0.0003436406955235,0.032395101242864,0.0297398291830011,"5723/26227/1491/29968",4
"GO:1903204","GO:1903204","negative regulation of oxidative stress-induced neuron death","4/306","21/18614",0.0003436406955235,0.032395101242864,0.0297398291830011,"8013/135112/468/23657",4
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","15/306","328/18614",0.000369453025982066,0.0331713422126196,0.0304524453798856,"7923/3638/8644/5740/157506/5723/2805/81539/113675/26227/1491/440/29968/57761/23205",15
"GO:0015804","GO:0015804","neutral amino acid transport","6/306","58/18614",0.00037089516808835,0.0331713422126196,0.0304524453798856,"6520/6509/81539/23657/8140/6536",6
"GO:0016053","GO:0016053","organic acid biosynthetic process","15/306","331/18614",0.000406528033514657,0.0345846288024177,0.0317498916033784,"7923/3638/8644/5740/157506/5723/2805/81539/113675/26227/1491/440/29968/57761/23205",15
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","15/306","331/18614",0.000406528033514657,0.0345846288024177,0.0317498916033784,"8013/3638/8644/978/8671/10162/157506/6720/5366/26471/23657/57761/83667/2979/54541",15
"GO:0031669","GO:0031669","cellular response to nutrient levels","12/306","230/18614",0.000444189556312057,0.0368888850575346,0.0338652789549192,"8792/8644/355/6720/5366/468/8140/467/440/1026/83667/5251",12
"GO:0032570","GO:0032570","response to progesterone","5/306","40/18614",0.000477080491243626,0.0386989942664597,0.0355270221386318,"5732/1545/1364/6720/10628",5
"GO:0071347","GO:0071347","cellular response to interleukin-1","8/306","111/18614",0.000496681546489852,0.0393733007762864,0.0361460589574672,"6347/5740/3554/1051/10365/9252/5600/27063",8
"GO:2000134","GO:2000134","negative regulation of G1/S transition of mitotic cell cycle","7/306","86/18614",0.000536745781650051,0.0407493516064965,0.0374093214591267,"6347/1739/144455/9314/1263/4193/1026",7
"GO:0048872","GO:0048872","homeostasis of number of cells","14/306","304/18614",0.000537405439764575,0.0407493516064965,0.0374093214591267,"6372/11151/9935/10162/355/8915/1054/10365/53833/5366/27040/1831/23657/7422",14
"GO:0051384","GO:0051384","response to glucocorticoid","9/306","142/18614",0.0005770236214057,0.0428225189672996,0.0393125611716941,"133522/5122/1545/6752/2805/687/5106/23205/54541",9
"GO:0071384","GO:0071384","cellular response to corticosteroid stimulus","6/306","64/18614",0.00063277137139727,0.045981386321535,0.0422125112234758,"1545/6752/8644/687/5106/54541",6
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process","12/306","242/18614",0.00069741808697907,0.0496447813751632,0.0455756352436162,"3638/8644/9464/10162/3157/6720/2805/120227/23657/5106/29968/3706",12
"GO:0042771","GO:0042771","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","5/306","44/18614",0.000746337467696574,0.051043629163248,0.0468598261451595,"23612/26471/25946/1026/54541",5
"GO:0043029","GO:0043029","T cell homeostasis","5/306","44/18614",0.000746337467696574,0.051043629163248,0.0468598261451595,"11151/355/53833/5366/1831",5
"GO:0006541","GO:0006541","glutamine metabolic process","4/306","26/18614",0.000804614419920036,0.0539710595515594,0.0495473090161286,"92292/81539/26227/440",4
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","3/306","12/18614",0.000866961978355477,0.0570559128396963,0.0523793115820727,"4172/51659/4171",3
"GO:0043491","GO:0043491","protein kinase B signaling","11/306","215/18614",0.000894948250163584,0.05780702771427,0.0530688611500511,"10855/6347/8644/57462/10253/1739/23612/1263/1649/83667/9518",11
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","12/306","251/18614",0.000958514813380159,0.0606586161055083,0.0556867184309984,"6347/898/9134/1870/1739/11040/144455/9314/1978/1263/4193/1026",12
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","7/306","95/18614",0.000973876864079261,0.0606586161055083,0.0556867184309984,"23475/2805/160428/84706/10797/23657/5106",7
"GO:0006984","GO:0006984","ER-nucleus signaling pathway","5/306","47/18614",0.001012723526027,0.0606795733172129,0.0557059578799377,"3638/10162/6720/468/1649",5
"GO:0009066","GO:0009066","aspartate family amino acid metabolic process","5/306","47/18614",0.001012723526027,0.0606795733172129,0.0557059578799377,"2805/468/113675/26227/440",5
"GO:0006520","GO:0006520","amino acid metabolic process","13/306","290/18614",0.001076941976372,0.0606795733172129,0.0557059578799377,"92292/84842/5723/2805/84706/468/81539/113675/26227/1491/23657/440/29968",13
"GO:1902807","GO:1902807","negative regulation of cell cycle G1/S phase transition","7/306","97/18614",0.00110113951412914,0.0606795733172129,0.0557059578799377,"6347/1739/144455/9314/1263/4193/1026",7
"GO:0045862","GO:0045862","positive regulation of proteolysis","15/306","365/18614",0.00110475765473218,0.0606795733172129,0.0557059578799377,"56963/1364/80759/10162/355/8915/9709/1263/23151/5366/26471/26999/27113/4193/57761",15
"GO:0015824","GO:0015824","proline transport","3/306","13/18614",0.00111338666637088,0.0606795733172129,0.0557059578799377,"6520/6509/8140",3
"GO:0034616","GO:0034616","response to laminar fluid shear stress","3/306","13/18614",0.00111338666637088,0.0606795733172129,0.0557059578799377,"9314/19/10365",3
"GO:0036462","GO:0036462","TRAIL-activated apoptotic signaling pathway","3/306","13/18614",0.00111338666637088,0.0606795733172129,0.0557059578799377,"8795/467/8794",3
"GO:0034198","GO:0034198","cellular response to amino acid starvation","5/306","49/18614",0.00122576106245128,0.0640885363747449,0.0588355044821264,"355/468/467/1026/83667",5
"GO:0042149","GO:0042149","cellular response to glucose starvation","5/306","49/18614",0.00122576106245128,0.0640885363747449,0.0588355044821264,"5366/468/8140/440/83667",5
"GO:0071900","GO:0071900","regulation of protein serine/threonine kinase activity","15/306","369/18614",0.00123105846820754,0.0640885363747449,0.0588355044821264,"10309/8792/9077/5608/898/9134/441273/10253/1647/100310812/7422/1026/57761/83667/2810",15
"GO:0071260","GO:0071260","cellular response to mechanical stimulus","6/306","73/18614",0.00127029147780573,0.0651584805086235,0.0598177503945052,"1535/1647/355/8915/8795/27063",6
"GO:0042692","GO:0042692","muscle cell differentiation","16/306","410/18614",0.00130802755575792,0.0652697421818149,0.0599198924785976,"4773/57462/84665/338773/25802/70/1794/1827/287/5600/1491/4193/7422/27063/4621/9518",16
"GO:0055001","GO:0055001","muscle cell development","10/306","192/18614",0.00132769298060177,0.0652697421818149,0.0599198924785976,"4773/57462/84665/25802/70/1827/287/7422/27063/4621",10
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","12/306","261/18614",0.00133938437874381,0.0652697421818149,0.0599198924785976,"8792/8644/355/6720/5366/468/8140/467/440/1026/83667/5251",12
"GO:1905039","GO:1905039","carboxylic acid transmembrane transport","9/306","160/18614",0.00134731119182646,0.0652697421818149,0.0599198924785976,"57709/26503/11046/6520/6509/81539/23657/8140/6536",9
"GO:1903825","GO:1903825","organic acid transmembrane transport","9/306","161/18614",0.00140698191519727,0.0672267523316176,0.0617164958331666,"57709/26503/11046/6520/6509/81539/23657/8140/6536",9
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response","6/306","75/18614",0.00146209917380325,0.0689162421381858,0.0632675062120839,"9709/4189/468/1491/467/1649",6
"GO:0003333","GO:0003333","amino acid transmembrane transport","7/306","103/18614",0.00156259644994007,0.0726711522318795,0.0667146442205992,"57709/6520/6509/81539/23657/8140/6536",7
"GO:1903203","GO:1903203","regulation of oxidative stress-induced neuron death","4/306","31/18614",0.00158765995534012,0.0727080782355417,0.0667485435757237,"8013/135112/468/23657",4
"GO:1990928","GO:1990928","response to amino acid starvation","5/306","52/18614",0.00160508085554378,0.0727080782355417,0.0667485435757237,"355/468/467/1026/83667",5
"GO:0032933","GO:0032933","SREBP signaling pathway","3/306","15/18614",0.00172865987193786,0.0770855301352244,0.0707671966053092,"3638/10162/6720",3
"GO:0006766","GO:0006766","vitamin metabolic process","7/306","105/18614",0.00174591653689298,0.0770855301352244,0.0707671966053092,"8644/166785/157506/160428/120227/10797/29968",7
"GO:0046685","GO:0046685","response to arsenic-containing substance","4/306","32/18614",0.00179124671773347,0.0780983568931794,0.0716970067808582,"1545/468/2872/467",4
"GO:0043588","GO:0043588","skin development","13/306","308/18614",0.0018440019332258,0.0784238203494187,0.0719957935486878,"10855/2252/147495/8644/1364/9935/9314/3855/10468/10628/3887/2810/3892",13
"GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","17/306","465/18614",0.00187493021790502,0.0784238203494187,0.0719957935486878,"133522/8792/1545/1870/79918/55859/5740/9464/9314/8915/1054/9181/9252/26471/1491/7422/1649",17
"GO:0071385","GO:0071385","cellular response to glucocorticoid stimulus","5/306","54/18614",0.0019017420446275,0.0784238203494187,0.0719957935486878,"1545/6752/687/5106/54541",5
"GO:0009064","GO:0009064","glutamine family amino acid metabolic process","6/306","79/18614",0.00191113094314811,0.0784238203494187,0.0719957935486878,"92292/2805/81539/26227/23657/440",6
"GO:1902475","GO:1902475","L-alpha-amino acid transmembrane transport","6/306","79/18614",0.00191113094314811,0.0784238203494187,0.0719957935486878,"6520/6509/81539/23657/8140/6536",6
"GO:1901655","GO:1901655","cellular response to ketone","7/306","107/18614",0.00194552059285982,0.0789066956731984,0.072439089883471,"5732/1545/8644/687/10365/5106/54541",7
"GO:0043434","GO:0043434","response to peptide hormone","16/306","427/18614",0.00197721919117185,0.0792705809058322,0.072773149177795,"8792/5122/1545/8013/3638/1535/6720/2805/694/84327/5106/7832/57761/83667/5251/9518",16
"GO:0062197","GO:0062197","cellular response to chemical stress","14/306","349/18614",0.00200487802424012,0.0794660744153355,0.07295261901601,"133522/1545/8013/8644/355/135112/94241/11179/10365/9181/468/23657/1649/83667",14
"GO:0043517","GO:0043517","positive regulation of DNA damage response, signal transduction by p53 class mediator","3/306","16/18614",0.00210185022646933,0.0814583732213889,0.074781618583856,"5366/25946/27063",3
"GO:0071501","GO:0071501","cellular response to sterol depletion","3/306","16/18614",0.00210185022646933,0.0814583732213889,0.074781618583856,"3638/10162/6720",3
"GO:0046165","GO:0046165","alcohol biosynthetic process","8/306","140/18614",0.0022336954631913,0.0844391592788886,0.0775180838140932,"3638/10162/3157/6720/2805/120227/5106/3706",8
"GO:2001235","GO:2001235","positive regulation of apoptotic signaling pathway","8/306","140/18614",0.0022336954631913,0.0844391592788886,0.0775180838140932,"355/8915/5366/79156/26471/27113/467/1649",8
"GO:0036475","GO:0036475","neuron death in response to oxidative stress","4/306","34/18614",0.00225138813444284,0.0844391592788886,0.0775180838140932,"8013/135112/468/23657",4
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","9/306","173/18614",0.00230348840495403,0.0848535284631151,0.0778984891310949,"9709/9181/5366/79156/26471/25946/27113/4193/1649",9
"GO:1905897","GO:1905897","regulation of response to endoplasmic reticulum stress","6/306","82/18614",0.0023110909415126,0.0848535284631151,0.0778984891310949,"10162/9709/4189/5366/26471/1649",6
"GO:0006986","GO:0006986","response to unfolded protein","8/306","142/18614",0.00244003726715927,0.0879466017226734,0.0807380379165779,"22824/9709/4189/468/1491/467/1649/79094",8
"GO:0044843","GO:0044843","cell cycle G1/S phase transition","12/306","281/18614",0.00247926397439942,0.0879466017226734,0.0807380379165779,"6347/898/9134/1870/1739/11040/144455/9314/1978/1263/4193/1026",12
"GO:0032633","GO:0032633","interleukin-4 production","4/306","35/18614",0.00250941294817464,0.0879466017226734,0.0807380379165779,"1051/53833/8140/1649",4
"GO:0032673","GO:0032673","regulation of interleukin-4 production","4/306","35/18614",0.00250941294817464,0.0879466017226734,0.0807380379165779,"1051/53833/8140/1649",4
"GO:0016114","GO:0016114","terpenoid biosynthetic process","3/306","17/18614",0.00252140486590233,0.0879466017226734,0.0807380379165779,"8644/3157/157506",3
"GO:0015807","GO:0015807","L-amino acid transport","6/306","86/18614",0.00293860921770236,0.0964062946381903,0.0885043301211295,"6520/6509/81539/23657/8140/6536",6
"GO:0006977","GO:0006977","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","3/306","18/18614",0.0029891529032359,0.0964062946381903,0.0885043301211295,"1263/4193/1026",3
"GO:0006991","GO:0006991","response to sterol depletion","3/306","18/18614",0.0029891529032359,0.0964062946381903,0.0885043301211295,"3638/10162/6720",3
"GO:0020027","GO:0020027","hemoglobin metabolic process","3/306","18/18614",0.0029891529032359,0.0964062946381903,0.0885043301211295,"9314/3263/6536",3
"GO:0042574","GO:0042574","retinal metabolic process","3/306","18/18614",0.0029891529032359,0.0964062946381903,0.0885043301211295,"1545/8644/157506",3
"GO:0043649","GO:0043649","dicarboxylic acid catabolic process","3/306","18/18614",0.0029891529032359,0.0964062946381903,0.0885043301211295,"23475/2805/160428",3
"GO:0006865","GO:0006865","amino acid transport","8/306","147/18614",0.00302149827046038,0.0964062946381903,0.0885043301211295,"57709/26503/6520/6509/81539/23657/8140/6536",8
"GO:0038179","GO:0038179","neurotrophin signaling pathway","4/306","37/18614",0.00308498299583742,0.0964062946381903,0.0885043301211295,"11151/10253/26999/54541",4
"GO:0043516","GO:0043516","regulation of DNA damage response, signal transduction by p53 class mediator","4/306","37/18614",0.00308498299583742,0.0964062946381903,0.0885043301211295,"5366/25946/4193/27063",4
"GO:0006066","GO:0006066","alcohol metabolic process","14/306","366/18614",0.00308558026722653,0.0964062946381903,0.0885043301211295,"1545/3638/8644/10162/3157/157506/6720/2805/19/120227/2232/5106/7436/3706",14
"GO:0045860","GO:0045860","positive regulation of protein kinase activity","14/306","366/18614",0.00308558026722653,0.0964062946381903,0.0885043301211295,"8792/51704/5608/441273/79866/1739/9618/100310812/8795/27040/7436/7422/1026/83667",14
"GO:1901214","GO:1901214","regulation of neuron death","13/306","327/18614",0.00309561496544648,0.0964062946381903,0.0885043301211295,"8200/8326/6347/8013/11151/135112/1051/468/26471/23657/1649/7832/54541",13
"GO:0001819","GO:0001819","positive regulation of cytokine production","17/306","489/18614",0.00314913542613587,0.0972051713837338,0.0892377267471386,"3115/1545/10855/8013/51704/3554/1535/8915/1054/1051/53833/9181/468/5600/5452/8140/1649",17
"GO:1902652","GO:1902652","secondary alcohol metabolic process","8/306","150/18614",0.00341890899073574,0.104606618944616,0.0960325129253752,"3638/10162/3157/6720/19/120227/2232/7436",8
"GO:1901215","GO:1901215","negative regulation of neuron death","10/306","219/18614",0.00346868716950896,0.10484793319351,0.0962540477953455,"8200/8326/6347/8013/11151/135112/1051/468/23657/7832",10
"GO:0071229","GO:0071229","cellular response to acid chemical","6/306","89/18614",0.00348691520941718,0.10484793319351,0.0962540477953455,"1535/1051/10365/8140/7422/83667",6
"GO:0034612","GO:0034612","response to tumor necrosis factor","11/306","257/18614",0.00363860504279994,0.107931483277138,0.0990848539742435,"8792/1545/6347/9618/1535/355/10365/3899/9181/5106/27063",11
"GO:0070997","GO:0070997","neuron death","14/306","373/18614",0.0036513517851784,0.107931483277138,0.0990848539742435,"8200/8326/6347/8013/11151/355/135112/1051/468/26471/23657/1649/7832/54541",14
"GO:2001244","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","5/306","63/18614",0.00374993505907683,0.109914062908067,0.10090493100143,"5366/79156/26471/27113/1649",5
"GO:0051146","GO:0051146","striated muscle cell differentiation","12/306","297/18614",0.00387643567472736,0.111885100682279,0.102714412202889,"4773/57462/84665/338773/25802/70/1794/1827/7422/27063/4621/9518",12
"GO:0098773","GO:0098773","skin epidermis development","7/306","121/18614",0.00388133520142079,0.111885100682279,0.102714412202889,"10855/2252/147495/1364/9314/10468/2810",7
"GO:0071243","GO:0071243","cellular response to arsenic-containing substance","3/306","20/18614",0.00407590977502376,0.11653092864986,0.106979443793117,"468/2872/467",3
"GO:0016125","GO:0016125","sterol metabolic process","8/306","155/18614",0.00417007689042518,0.118253887754496,0.108561180151249,"1545/3638/10162/3157/6720/19/2232/7436",8
"GO:0030323","GO:0030323","respiratory tube development","9/306","190/18614",0.0042927567553376,0.120751093246916,0.11085370161067,"2252/10253/157506/9618/6720/10365/23657/7422/5251",9
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","14/306","381/18614",0.00439881947209185,0.122744658549251,0.112683863866134,"8326/355/8915/9709/9181/5366/79156/26471/25946/27113/1491/4193/467/1649",14
"GO:0006268","GO:0006268","DNA unwinding involved in DNA replication","3/306","21/18614",0.00469795462160715,0.130051315239411,0.119391628729565,"4172/51659/4171",3
"GO:0043433","GO:0043433","negative regulation of DNA-binding transcription factor activity","9/306","194/18614",0.00491369760693729,0.134952576795254,0.123891157234175,"1545/1870/79918/5740/9464/9314/1054/26471/1649",9
"GO:0006261","GO:0006261","DNA-templated DNA replication","8/306","160/18614",0.00504249081962875,0.137407874834883,0.126145206194989,"898/9134/4172/51659/4171/5427/55388/144455",8
"GO:0045765","GO:0045765","regulation of angiogenesis","13/306","349/18614",0.00533231508191313,0.144179186090799,0.132361505338064,"1545/1870/5740/10253/576/3696/1647/9314/694/10365/374887/7422/79924",13
"GO:0062099","GO:0062099","negative regulation of programmed necrotic cell death","3/306","22/18614",0.00537427368091415,0.144195896915604,0.132376846456201,"8326/9181/26471",3
"GO:2000116","GO:2000116","regulation of cysteine-type endopeptidase activity","10/306","234/18614",0.00550951249502797,0.145508226827828,0.13358161093984,"80759/355/9314/8915/23151/5366/26999/27113/7422/2810",10
"GO:0015711","GO:0015711","organic anion transport","15/306","433/18614",0.00556895986730046,0.145508226827828,0.13358161093984,"8792/57709/5608/26503/11000/8671/7439/11046/6520/6509/81539/23657/8140/6536/57835",15
"GO:0034620","GO:0034620","cellular response to unfolded protein","6/306","98/18614",0.00559005229212414,0.145508226827828,0.13358161093984,"9709/4189/468/1491/467/1649",6
"GO:0097306","GO:0097306","cellular response to alcohol","6/306","98/18614",0.00559005229212414,0.145508226827828,0.13358161093984,"5732/1545/8644/94241/687/10365",6
"GO:0071356","GO:0071356","cellular response to tumor necrosis factor","10/306","235/18614",0.00567321685367706,0.145805021141653,0.133854078438227,"8792/1545/6347/9618/1535/355/10365/9181/5106/27063",10
"GO:0006979","GO:0006979","response to oxidative stress","15/306","434/18614",0.00568505816378005,0.145805021141653,0.133854078438227,"133522/1545/8013/8644/1827/135112/1263/94241/11179/694/10365/468/10628/23657/83667",15
"GO:0035966","GO:0035966","response to topologically incorrect protein","8/306","164/18614",0.00583584051012182,0.146618982062912,0.134601322861956,"22824/9709/4189/468/1491/467/1649/79094",8
"GO:0006631","GO:0006631","fatty acid metabolic process","14/306","394/18614",0.00587459321730918,0.146618982062912,0.134601322861956,"1545/7923/8013/100137049/3638/11000/8644/5740/6720/160428/5106/57761/83667/23205",14
"GO:0030239","GO:0030239","myofibril assembly","5/306","70/18614",0.00588493620665357,0.146618982062912,0.134601322861956,"84665/25802/70/27063/4621",5
"GO:2000379","GO:2000379","positive regulation of reactive oxygen species metabolic process","5/306","70/18614",0.00588493620665357,0.146618982062912,0.134601322861956,"1545/8644/1535/1647/1026",5
"GO:1901342","GO:1901342","regulation of vasculature development","13/306","355/18614",0.00612653435744687,0.151555686799821,0.139133389438995,"1545/1870/5740/10253/576/3696/1647/9314/694/10365/374887/7422/79924",13
"GO:0055002","GO:0055002","striated muscle cell development","5/306","71/18614",0.00624755734113177,0.153219689450527,0.14066100172275,"84665/25802/70/27063/4621",5
"GO:1900744","GO:1900744","regulation of p38MAPK cascade","4/306","45/18614",0.00628165584616553,0.153219689450527,0.14066100172275,"9464/1739/1647/7422",4
"GO:0002702","GO:0002702","positive regulation of production of molecular mediator of immune response","7/306","134/18614",0.00674461276263812,0.161833688615947,0.148568952429295,"8013/51704/3554/8915/4189/8140/3263",7
"GO:0043281","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","9/306","204/18614",0.00677233851535274,0.161833688615947,0.148568952429295,"80759/355/9314/8915/23151/5366/27113/7422/2810",9
"GO:0008585","GO:0008585","female gonad development","6/306","102/18614",0.00677400187440604,0.161833688615947,0.148568952429295,"11144/1051/10468/26471/7422/23205",6
"GO:0048011","GO:0048011","neurotrophin TRK receptor signaling pathway","3/306","24/18614",0.00689456113529557,0.16322355866212,0.149844901451645,"10253/26999/54541",3
"GO:0000302","GO:0000302","response to reactive oxygen species","9/306","205/18614",0.00698431261983018,0.16322355866212,0.149844901451645,"133522/1545/8013/8644/1263/11179/10365/10628/83667",9
"GO:0010565","GO:0010565","regulation of cellular ketone metabolic process","7/306","135/18614",0.00701625401798779,0.16322355866212,0.149844901451645,"8013/3638/8644/157506/6720/23657/57761",7
"GO:0007405","GO:0007405","neuroblast proliferation","5/306","73/18614",0.00701936175439165,0.16322355866212,0.149844901451645,"8326/9181/80709/7422/7832",5
"GO:0008630","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","6/306","103/18614",0.00709635684911528,0.163921143640491,0.150485308713898,"23612/26471/25946/1026/2810/54541",6
